department,systems_used,practices,avg_storage_share,avg_budget_deviation,total_records,cost_management_effectiveness,system_category,strategic_recommendation
Разработка / Продукты,Гибридные (облако + локально),Автоматическое масштабирование,27.2,11.274999999999999,4,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Озеро данных (Data Lake),Автоматическое масштабирование,29.125,8.9125,8,Низкая эффективность,Озера данных,Оптимизация возможна
Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",Контроль вычислительных мощностей,33.375,10.95,4,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Озеро данных (Data Lake),FinOps-подход,42.879999999999995,9.319999999999999,5,Низкая эффективность,Озера данных,Оптимизация возможна
Аналитика / Data Science,Другое,Регулярный аудит неиспользуемых данных,29.35454545454546,15.045454545454549,11,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,"Облачные решения (Yandex Cloud, AWS, GCP)",Не применяются,35.25,15.25,2,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",Мониторинг использования ресурсов,25.477777777777778,11.577777777777778,9,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Озеро данных (Data Lake),Централизация отчётности,35.51428571428572,17.3,7,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Другое,Другое,Не применяются,22.6,4.2,1,Средняя эффективность,Прочие системы,Оптимизация возможна
Операции / Бизнес-подразделение,Гибридные (облако + локально),FinOps-подход,24.083333333333332,11.233333333333333,6,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Другое,Не применяются,31.5,7.800000000000001,2,Низкая эффективность,Прочие системы,Оптимизация возможна
Разработка / Продукты,Другое,Централизация отчётности,29.3,3.019999999999999,5,Средняя эффективность,Прочие системы,Оптимизация возможна
IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",FinOps-подход,36.8,5,2,Средняя эффективность,Прочие системы,Оптимизация возможна
Разработка / Продукты,Гибридные (облако + локально),Регулярный аудит неиспользуемых данных,31.55,7.733333333333334,6,Низкая эффективность,Локальные решения,Оптимизация возможна
Другое,Озеро данных (Data Lake),Централизация отчётности,15.5,5.85,2,Низкая эффективность,Озера данных,Оптимизация возможна
Руководство / Менеджмент,"BI-платформы (DataLens, Power BI, Tableau)",Регулярный аудит неиспользуемых данных,30.8,15.3,1,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,"BI-платформы (DataLens, Power BI, Tableau)",Регулярный аудит неиспользуемых данных,27.5,17.9,1,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Другое,Гибридные (облако + локально),Централизация отчётности,22.9,6.4,1,Низкая эффективность,Локальные решения,Оптимизация возможна
IT / Инфраструктура,Локальные (on-premise) решения,Автоматическое масштабирование,29.314285714285717,11.7,7,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Другое,Контроль вычислительных мощностей,13,15.233333333333334,3,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Другое,FinOps-подход,32.9,17.224999999999998,4,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Локальные (on-premise) решения,Мониторинг использования ресурсов,39.95,0.2999999999999998,2,Средняя эффективность,Локальные решения,Оптимизация возможна
Операции / Бизнес-подразделение,Другое,Контроль вычислительных мощностей,30.9,-5,1,Средняя эффективность,Прочие системы,Эффективные практики — можно масштабировать
Другое,Другое,Автоматическое масштабирование,30.7,-45.1,1,Высокая эффективность,Прочие системы,Эффективные практики — можно масштабировать
IT / Инфраструктура,Локальные (on-premise) решения,Контроль вычислительных мощностей,24,20.425,4,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Озеро данных (Data Lake),Мониторинг использования ресурсов,29.200000000000003,10.25,2,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Локальные (on-premise) решения,FinOps-подход,36.3,10.549999999999999,2,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Другое,Мониторинг использования ресурсов,28.724999999999994,12.8,4,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Другое,Мониторинг использования ресурсов,87.7,13.7,1,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Гибридные (облако + локально),Централизация отчётности,40.05,13.15,2,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Гибридные (облако + локально),Автоматическое масштабирование,28.733333333333334,13.266666666666666,3,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Другое,Озеро данных (Data Lake),Регулярный аудит неиспользуемых данных,35.45,19.9,4,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Локальные (on-premise) решения,FinOps-подход,30.771428571428572,20.400000000000002,7,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",FinOps-подход,27.1875,10.250000000000002,8,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,"Облачные решения (Yandex Cloud, AWS, GCP)",Контроль вычислительных мощностей,36.9,23.375,4,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Локальные (on-premise) решения,Регулярный аудит неиспользуемых данных,34.900000000000006,12.433333333333332,3,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Другое,"Облачные решения (Yandex Cloud, AWS, GCP)",Автоматическое масштабирование,37.7,1.8,1,Средняя эффективность,Облачные решения,Оптимизация возможна
Финансы / Контроллинг,Локальные (on-premise) решения,Автоматическое масштабирование,17.4,-4.85,2,Средняя эффективность,Локальные решения,Эффективные практики — можно масштабировать
Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",Не применяются,33.55,6,2,Низкая эффективность,Прочие системы,Оптимизация возможна
Операции / Бизнес-подразделение,Другое,FinOps-подход,40.35,6.699999999999999,2,Низкая эффективность,Прочие системы,Оптимизация возможна
Финансы / Контроллинг,Озеро данных (Data Lake),Автоматическое масштабирование,28.9,8.625,4,Низкая эффективность,Озера данных,Оптимизация возможна
Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",Централизация отчётности,35,3.8,4,Средняя эффективность,Облачные решения,Оптимизация возможна
IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",Регулярный аудит неиспользуемых данных,24.4,19.5,5,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Гибридные (облако + локально),Не применяются,24.799999999999997,9.8,2,Низкая эффективность,Локальные решения,Оптимизация возможна
Руководство / Менеджмент,Гибридные (облако + локально),Автоматическое масштабирование,15.7,13.7,1,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",Не применяются,25.75,3.25,2,Средняя эффективность,Прочие системы,Оптимизация возможна
Аналитика / Data Science,Гибридные (облако + локально),Не применяются,26.549999999999997,13.8,4,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,"BI-платформы (DataLens, Power BI, Tableau)",Централизация отчётности,41.3,5.640000000000001,5,Низкая эффективность,Прочие системы,Оптимизация возможна
Операции / Бизнес-подразделение,Другое,Не применяются,27.9,12.85,2,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Локальные (on-premise) решения,Контроль вычислительных мощностей,31.91428571428571,9.299999999999999,7,Низкая эффективность,Локальные решения,Оптимизация возможна
Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",Централизация отчётности,30.05,19.95,2,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,"Облачные решения (Yandex Cloud, AWS, GCP)",Мониторинг использования ресурсов,18.7,13.100000000000001,2,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Другое,"BI-платформы (DataLens, Power BI, Tableau)",Автоматическое масштабирование,23.833333333333332,15.9,3,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Озеро данных (Data Lake),Регулярный аудит неиспользуемых данных,33.059999999999995,13.919999999999998,5,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Локальные (on-premise) решения,FinOps-подход,22.46666666666667,6.866666666666667,3,Низкая эффективность,Локальные решения,Оптимизация возможна
Руководство / Менеджмент,Локальные (on-premise) решения,Мониторинг использования ресурсов,26.125,4.175000000000001,4,Средняя эффективность,Локальные решения,Оптимизация возможна
Операции / Бизнес-подразделение,"Облачные решения (Yandex Cloud, AWS, GCP)",Автоматическое масштабирование,33.36666666666667,6.166666666666667,3,Низкая эффективность,Облачные решения,Оптимизация возможна
Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",Централизация отчётности,27.950000000000003,15.275000000000002,4,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Гибридные (облако + локально),Автоматическое масштабирование,35.175000000000004,7.6,4,Низкая эффективность,Локальные решения,Оптимизация возможна
IT / Инфраструктура,Другое,Не применяются,34.980000000000004,10.7,5,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",Мониторинг использования ресурсов,36.2,11.014285714285716,7,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,"BI-платформы (DataLens, Power BI, Tableau)",Контроль вычислительных мощностей,31.85,23.05,2,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Гибридные (облако + локально),Контроль вычислительных мощностей,29.433333333333334,11.950000000000001,6,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Другое,Озеро данных (Data Lake),FinOps-подход,39.400000000000006,10.75,2,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",Регулярный аудит неиспользуемых данных,23.083333333333332,7.349999999999999,6,Низкая эффективность,Прочие системы,Оптимизация возможна
Операции / Бизнес-подразделение,"BI-платформы (DataLens, Power BI, Tableau)",Мониторинг использования ресурсов,34.1,3.8,1,Средняя эффективность,Прочие системы,Оптимизация возможна
Операции / Бизнес-подразделение,Гибридные (облако + локально),Регулярный аудит неиспользуемых данных,31.424999999999997,18.675,4,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Гибридные (облако + локально),Мониторинг использования ресурсов,23.624999999999996,1.7,4,Средняя эффективность,Локальные решения,Оптимизация возможна
Другое,"BI-платформы (DataLens, Power BI, Tableau)",FinOps-подход,61.25,20.55,2,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Озеро данных (Data Lake),Контроль вычислительных мощностей,40.23333333333333,11.266666666666666,3,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,"BI-платформы (DataLens, Power BI, Tableau)",Не применяются,8.3,13.8,1,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Другое,Централизация отчётности,32.75,17.05,2,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Другое,Централизация отчётности,29.11666666666667,8.783333333333333,6,Низкая эффективность,Прочие системы,Оптимизация возможна
IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",Централизация отчётности,24.22,16.619999999999997,5,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Озеро данных (Data Lake),Мониторинг использования ресурсов,23.8,3.4,1,Средняя эффективность,Озера данных,Оптимизация возможна
Другое,Локальные (on-premise) решения,Регулярный аудит неиспользуемых данных,27.4,-8.4,1,Высокая эффективность,Локальные решения,Эффективные практики — можно масштабировать
Операции / Бизнес-подразделение,Локальные (on-premise) решения,Не применяются,27,18.9,1,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Озеро данных (Data Lake),Централизация отчётности,30.5125,11.524999999999999,8,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Локальные (on-premise) решения,Автоматическое масштабирование,47.4,20.7,1,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Гибридные (облако + локально),Регулярный аудит неиспользуемых данных,29.400000000000002,15.966666666666667,3,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",Не применяются,38.06666666666666,23.96666666666667,3,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Гибридные (облако + локально),Мониторинг использования ресурсов,33.75,2.6500000000000004,2,Средняя эффективность,Локальные решения,Оптимизация возможна
Финансы / Контроллинг,Другое,Автоматическое масштабирование,27.5,21.5,1,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Локальные (on-premise) решения,Регулярный аудит неиспользуемых данных,24.9,5.140000000000001,5,Низкая эффективность,Локальные решения,Оптимизация возможна
Операции / Бизнес-подразделение,"BI-платформы (DataLens, Power BI, Tableau)",FinOps-подход,65.5,14.3,1,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Локальные (on-premise) решения,Мониторинг использования ресурсов,23.866666666666664,8.033333333333333,3,Низкая эффективность,Локальные решения,Оптимизация возможна
Руководство / Менеджмент,"Облачные решения (Yandex Cloud, AWS, GCP)",Автоматическое масштабирование,29.7,19.1,1,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Локальные (on-premise) решения,Регулярный аудит неиспользуемых данных,25.9,14,2,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",Централизация отчётности,29.48,14.080000000000002,5,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",Мониторинг использования ресурсов,27.95,17.3125,8,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",FinOps-подход,29.314285714285713,15.42857142857143,7,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Другое,"BI-платформы (DataLens, Power BI, Tableau)",Не применяются,24.8,12.5,2,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Другое,Озеро данных (Data Lake),Контроль вычислительных мощностей,22.4,20.3,1,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Гибридные (облако + локально),FinOps-подход,35.15,18.625,4,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Локальные (on-premise) решения,Не применяются,27.5,14.24,5,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",Мониторинг использования ресурсов,36.4,19.12,5,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Другое,Другое,Мониторинг использования ресурсов,31,12.9,1,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
