respondent_id,timestamp,department,systems_used,efficiency,practices,storage_cost_share_pct,automation_level,budget_deviation_pct,maturity_level,key_metrics
266,2025-10-22 07:00:00,Другое,Озеро данных (Data Lake),умеренно,Регулярный аудит неиспользуемых данных,30.5,частично автоматизировано,-0.5,системный подход,Cost per dataset
267,2025-10-03 10:00:00,IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,Мониторинг использования ресурсов,27.6,полностью вручную,28.3,установленные процессы,Стоимость вычислительного часа (vCPU-hour)
268,2025-10-11 06:00:00,Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",максимально эффективно,FinOps-подход,38.4,полностью автоматизировано,-2.3,системный подход,Egress/Network cost per TB
269,2025-10-05 01:00:00,Другое,Озеро данных (Data Lake),эффективно,FinOps-подход,41.1,частично автоматизировано,7.6,установленные процессы,Процент автоматизации отчётности
270,2025-10-03 15:00:00,Аналитика / Data Science,Озеро данных (Data Lake),скорее неэффективно,Не применяются,24.4,в основном автоматизировано,13.3,начальный уровень,Egress/Network cost per TB
271,2025-10-02 08:00:00,Операции / Бизнес-подразделение,Гибридные (облако + локально),эффективно,Регулярный аудит неиспользуемых данных,15.3,в основном автоматизировано,26.4,системный подход,Storage utilization %
272,2025-10-18 13:00:00,Аналитика / Data Science,Гибридные (облако + локально),умеренно,Централизация отчётности,31,частично вручную,-2.4,начальный уровень,SLA penalties / downtime cost
273,2025-10-03 12:00:00,Другое,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,Мониторинг использования ресурсов,40,в основном автоматизировано,23.6,установленные процессы,Retention days / % архивируемых данных
274,2025-10-15 05:00:00,Руководство / Менеджмент,Другое,неэффективно,Контроль вычислительных мощностей,14.5,полностью автоматизировано,12.1,установленные процессы,Стоимость вычислительного часа (vCPU-hour)
275,2025-10-09 10:00:00,Руководство / Менеджмент,Локальные (on-premise) решения,максимально эффективно,Не применяются,31,в основном автоматизировано,2.2,системный подход,Egress/Network cost per TB
276,2025-10-20 18:00:00,Руководство / Менеджмент,"Облачные решения (Yandex Cloud, AWS, GCP)",скорее неэффективно,Контроль вычислительных мощностей,32.8,частично автоматизировано,16.6,установленные процессы,Cost per GB хранения
277,2025-10-18 11:00:00,Финансы / Контроллинг,Озеро данных (Data Lake),скорее неэффективно,Автоматическое масштабирование,37.9,полностью автоматизировано,14,установленные процессы,Стоимость вычислительного часа (vCPU-hour)
278,2025-10-23 12:00:00,Операции / Бизнес-подразделение,Гибридные (облако + локально),умеренно,Регулярный аудит неиспользуемых данных,40.7,частично автоматизировано,6,установленные процессы,Cost per dataset
279,2025-10-23 21:00:00,IT / Инфраструктура,Гибридные (облако + локально),эффективно,Мониторинг использования ресурсов,29.4,полностью вручную,12.7,установленные процессы,Query cost per user
280,2025-10-15 06:00:00,IT / Инфраструктура,Локальные (on-premise) решения,скорее неэффективно,FinOps-подход,7.5,полностью автоматизировано,8.1,установленные процессы,SLA penalties / downtime cost
281,2025-10-17 18:00:00,Руководство / Менеджмент,Озеро данных (Data Lake),эффективно,Не применяются,20.4,в основном автоматизировано,13.1,системный подход,Cost per analytic job
282,2025-10-15 16:00:00,IT / Инфраструктура,Локальные (on-premise) решения,максимально эффективно,Автоматическое масштабирование,29,частично вручную,18.6,высокий уровень зрелости,Retention days / % архивируемых данных
283,2025-10-09 23:00:00,Аналитика / Data Science,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,Автоматическое масштабирование,20.7,полностью автоматизировано,27.9,установленные процессы,Egress/Network cost per TB
284,2025-10-22 06:00:00,Операции / Бизнес-подразделение,"Облачные решения (Yandex Cloud, AWS, GCP)",умеренно,Регулярный аудит неиспользуемых данных,39.6,полностью автоматизировано,-0.4,развивающийся,Retention days / % архивируемых данных
285,2025-10-10 22:00:00,Аналитика / Data Science,Озеро данных (Data Lake),умеренно,Не применяются,6.6,в основном автоматизировано,33.3,начальный уровень,Query cost per user
286,2025-10-13 18:00:00,Другое,Другое,умеренно,Регулярный аудит неиспользуемых данных,13.2,частично автоматизировано,-7.5,установленные процессы,Процент автоматизации отчётности
287,2025-10-21 10:00:00,IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",максимально эффективно,Не применяются,36.8,частично автоматизировано,10.5,установленные процессы,Storage utilization %
288,2025-10-11 21:00:00,Операции / Бизнес-подразделение,Гибридные (облако + локально),эффективно,FinOps-подход,19.1,частично вручную,17.9,системный подход,Cost per dataset
289,2025-10-23 07:00:00,IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,Централизация отчётности,29.4,полностью вручную,14.8,установленные процессы,Retention days / % архивируемых данных
290,2025-10-04 15:00:00,Разработка / Продукты,Другое,эффективно,FinOps-подход,40.4,частично автоматизировано,5.8,системный подход,Процент автоматизации отчётности
291,2025-10-11 11:00:00,IT / Инфраструктура,Гибридные (облако + локально),эффективно,Контроль вычислительных мощностей,30.5,частично автоматизировано,9.9,установленные процессы,Query cost per user
292,2025-10-07 16:00:00,Аналитика / Data Science,Гибридные (облако + локально),умеренно,Мониторинг использования ресурсов,23.7,полностью автоматизировано,7.1,высокий уровень зрелости,Стоимость вычислительного часа (vCPU-hour)
293,2025-10-23 05:00:00,IT / Инфраструктура,Другое,умеренно,Централизация отчётности,12.7,полностью автоматизировано,6.1,высокий уровень зрелости,Стоимость лицензий BI
294,2025-10-06 15:00:00,Разработка / Продукты,Озеро данных (Data Lake),умеренно,Автоматическое масштабирование,40.5,полностью вручную,20.5,развивающийся,Egress/Network cost per TB
295,2025-10-11 16:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",скорее неэффективно,Регулярный аудит неиспользуемых данных,23.2,частично автоматизировано,15.6,развивающийся,Storage utilization %
296,2025-10-10 05:00:00,IT / Инфраструктура,Другое,неэффективно,FinOps-подход,22.4,в основном автоматизировано,5.1,развивающийся,Cost per analytic job
297,2025-10-07 05:00:00,IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",умеренно,Централизация отчётности,18.3,частично автоматизировано,21,развивающийся,Стоимость лицензий BI
298,2025-10-23 20:00:00,Руководство / Менеджмент,Озеро данных (Data Lake),неэффективно,Автоматическое масштабирование,33.3,частично вручную,15.1,установленные процессы,Egress/Network cost per TB
299,2025-10-14 14:00:00,Разработка / Продукты,Озеро данных (Data Lake),максимально эффективно,Централизация отчётности,31.9,полностью вручную,20.1,системный подход,Cost per GB хранения
300,2025-10-17 08:00:00,Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,FinOps-подход,16.2,в основном автоматизировано,18.3,установленные процессы,SLA penalties / downtime cost
301,2025-10-09 16:00:00,Разработка / Продукты,Другое,скорее неэффективно,Не применяются,39.6,частично автоматизировано,3.7,установленные процессы,Cost per dataset
302,2025-10-01 00:00:00,Другое,Гибридные (облако + локально),эффективно,Централизация отчётности,22.9,в основном автоматизировано,6.4,системный подход,Стоимость лицензий BI
303,2025-10-10 08:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,FinOps-подход,5.6,полностью вручную,19.5,высокий уровень зрелости,SLA penalties / downtime cost
304,2025-10-25 01:00:00,Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,Не применяются,30.9,частично автоматизировано,18.1,установленные процессы,Стоимость вычислительного часа (vCPU-hour)
305,2025-10-13 12:00:00,IT / Инфраструктура,Локальные (on-premise) решения,эффективно,Автоматическое масштабирование,19.9,частично автоматизировано,11.8,установленные процессы,Storage utilization %
306,2025-10-24 01:00:00,Другое,Гибридные (облако + локально),эффективно,FinOps-подход,48.7,в основном автоматизировано,13.2,системный подход,Стоимость вычислительного часа (vCPU-hour)
307,2025-10-24 04:00:00,Другое,Локальные (on-premise) решения,скорее неэффективно,Контроль вычислительных мощностей,17.1,в основном автоматизировано,24.8,установленные процессы,SLA penalties / downtime cost
308,2025-10-24 18:00:00,Финансы / Контроллинг,Озеро данных (Data Lake),скорее неэффективно,Регулярный аудит неиспользуемых данных,31.4,полностью вручную,6.1,начальный уровень,SLA penalties / downtime cost
309,2025-10-22 20:00:00,Разработка / Продукты,Локальные (on-premise) решения,максимально эффективно,FinOps-подход,38.5,в основном автоматизировано,17.5,системный подход,Стоимость лицензий BI
310,2025-10-03 15:00:00,Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",максимально эффективно,Контроль вычислительных мощностей,21.3,в основном автоматизировано,10,системный подход,Стоимость лицензий BI
311,2025-10-16 14:00:00,Аналитика / Data Science,Гибридные (облако + локально),максимально эффективно,Мониторинг использования ресурсов,17.4,полностью автоматизировано,9.8,установленные процессы,Cost per dataset
356,2025-10-05 08:00:00,Аналитика / Data Science,Озеро данных (Data Lake),эффективно,Регулярный аудит неиспользуемых данных,38.1,полностью автоматизировано,2,системный подход,Cost per dataset
312,2025-10-20 20:00:00,Аналитика / Data Science,Озеро данных (Data Lake),эффективно,Мониторинг использования ресурсов,29.4,частично автоматизировано,23,начальный уровень,Стоимость вычислительного часа (vCPU-hour)
313,2025-10-20 15:00:00,Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,FinOps-подход,18.4,полностью вручную,20.3,установленные процессы,Процент автоматизации отчётности
314,2025-10-12 22:00:00,Разработка / Продукты,Гибридные (облако + локально),эффективно,Мониторинг использования ресурсов,8.4,в основном автоматизировано,80.5,системный подход,Query cost per user
315,2025-10-26 06:00:00,IT / Инфраструктура,Локальные (on-premise) решения,умеренно,Не применяются,26.7,в основном автоматизировано,25.1,высокий уровень зрелости,Cost per analytic job
316,2025-10-19 16:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,Мониторинг использования ресурсов,14.4,полностью автоматизировано,12.2,системный подход,Стоимость лицензий BI
317,2025-10-06 23:00:00,IT / Инфраструктура,Озеро данных (Data Lake),неэффективно,FinOps-подход,52.3,частично автоматизировано,18.8,высокий уровень зрелости,Egress/Network cost per TB
318,2025-10-25 07:00:00,Операции / Бизнес-подразделение,"Облачные решения (Yandex Cloud, AWS, GCP)",умеренно,Контроль вычислительных мощностей,37,частично автоматизировано,8.9,установленные процессы,Cost per dataset
319,2025-10-23 23:00:00,Аналитика / Data Science,Гибридные (облако + локально),максимально эффективно,Регулярный аудит неиспользуемых данных,31.8,полностью автоматизировано,15.2,системный подход,Процент автоматизации отчётности
320,2025-10-06 16:00:00,Руководство / Менеджмент,Другое,умеренно,Автоматическое масштабирование,24.9,частично автоматизировано,10.7,системный подход,SLA penalties / downtime cost
321,2025-10-14 00:00:00,Финансы / Контроллинг,Другое,умеренно,Мониторинг использования ресурсов,30.9,полностью автоматизировано,13,системный подход,Процент автоматизации отчётности
322,2025-10-05 01:00:00,Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",умеренно,Мониторинг использования ресурсов,17.2,частично вручную,18,развивающийся,Query cost per user
323,2025-10-08 16:00:00,Разработка / Продукты,Гибридные (облако + локально),умеренно,Контроль вычислительных мощностей,48,полностью автоматизировано,3.8,системный подход,SLA penalties / downtime cost
324,2025-10-18 01:00:00,Разработка / Продукты,Другое,умеренно,FinOps-подход,33.7,частично автоматизировано,32.9,системный подход,SLA penalties / downtime cost
325,2025-10-20 06:00:00,IT / Инфраструктура,Гибридные (облако + локально),умеренно,Не применяются,33.9,полностью автоматизировано,1.9,установленные процессы,Cost per dataset
326,2025-10-14 08:00:00,Разработка / Продукты,Локальные (on-premise) решения,умеренно,Автоматическое масштабирование,10.2,полностью вручную,-0.1,системный подход,Стоимость вычислительного часа (vCPU-hour)
327,2025-10-21 19:00:00,Финансы / Контроллинг,Локальные (on-premise) решения,скорее неэффективно,Не применяются,29.7,частично вручную,23.6,установленные процессы,Cost per GB хранения
328,2025-10-26 16:00:00,Операции / Бизнес-подразделение,Гибридные (облако + локально),умеренно,Контроль вычислительных мощностей,39,полностью вручную,19.9,установленные процессы,Egress/Network cost per TB
329,2025-10-18 20:00:00,IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,Мониторинг использования ресурсов,17.9,частично автоматизировано,18.2,высокий уровень зрелости,Cost per dataset
330,2025-10-13 03:00:00,IT / Инфраструктура,Другое,умеренно,Автоматическое масштабирование,46.8,в основном автоматизировано,18.3,высокий уровень зрелости,SLA penalties / downtime cost
331,2025-10-17 02:00:00,Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,Мониторинг использования ресурсов,45.8,полностью автоматизировано,11.9,начальный уровень,SLA penalties / downtime cost
332,2025-10-14 03:00:00,Руководство / Менеджмент,Локальные (on-premise) решения,максимально эффективно,Не применяются,20.2,полностью вручную,3,системный подход,Retention days / % архивируемых данных
333,2025-10-06 08:00:00,IT / Инфраструктура,Другое,максимально эффективно,FinOps-подход,32.3,в основном автоматизировано,12.8,установленные процессы,Storage utilization %; Cost target 0.2 ₽/GB
334,2025-10-18 00:00:00,Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,Централизация отчётности,15.8,частично автоматизировано,5.2,установленные процессы,Cost per analytic job
335,2025-10-10 14:00:00,Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",скорее неэффективно,FinOps-подход,16.7,полностью автоматизировано,21.8,системный подход,Query cost per user
336,2025-10-21 04:00:00,Аналитика / Data Science,Другое,неэффективно,Автоматическое масштабирование,22,частично вручную,10.5,системный подход,Процент автоматизации отчётности
337,2025-10-24 23:00:00,Аналитика / Data Science,Другое,эффективно,Мониторинг использования ресурсов,18,полностью вручную,3.7,установленные процессы,Стоимость вычислительного часа (vCPU-hour)
338,2025-10-06 21:00:00,Руководство / Менеджмент,Гибридные (облако + локально),умеренно,FinOps-подход,25.8,частично вручную,8.8,установленные процессы,Query cost per user
339,2025-10-12 04:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",максимально эффективно,Контроль вычислительных мощностей,17.7,полностью вручную,16.1,системный подход,Стоимость лицензий BI
340,2025-10-19 04:00:00,Разработка / Продукты,Локальные (on-premise) решения,скорее неэффективно,Контроль вычислительных мощностей,33,частично вручную,6.4,установленные процессы,SLA penalties / downtime cost
341,2025-10-24 10:00:00,Финансы / Контроллинг,Гибридные (облако + локально),эффективно,Регулярный аудит неиспользуемых данных,34.2,в основном автоматизировано,3.8,развивающийся,Storage utilization %
342,2025-10-05 17:00:00,Операции / Бизнес-подразделение,Озеро данных (Data Lake),умеренно,Не применяются,37.6,в основном автоматизировано,14.4,установленные процессы,Query cost per user
343,2025-10-02 17:00:00,IT / Инфраструктура,Другое,максимально эффективно,Мониторинг использования ресурсов,27,в основном автоматизировано,14.4,установленные процессы,Cost per dataset
344,2025-10-17 16:00:00,Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,Не применяются,9.1,частично автоматизировано,6.9,установленные процессы,Query cost per user
345,2025-10-19 21:00:00,IT / Инфраструктура,Гибридные (облако + локально),умеренно,FinOps-подход,31.8,в основном автоматизировано,7.3,развивающийся,Egress/Network cost per TB
346,2025-10-02 21:00:00,Операции / Бизнес-подразделение,Локальные (on-premise) решения,эффективно,Регулярный аудит неиспользуемых данных,55.7,полностью вручную,14.3,развивающийся,Query cost per user
347,2025-10-09 18:00:00,IT / Инфраструктура,Гибридные (облако + локально),умеренно,Регулярный аудит неиспользуемых данных,32.1,частично вручную,-2.5,установленные процессы,Query cost per user
348,2025-10-08 16:00:00,Финансы / Контроллинг,Локальные (on-premise) решения,умеренно,Регулярный аудит неиспользуемых данных,28.1,в основном автоматизировано,-2.1,установленные процессы,Cost per analytic job
349,2025-10-06 05:00:00,Аналитика / Data Science,Гибридные (облако + локально),умеренно,Регулярный аудит неиспользуемых данных,30.9,частично автоматизировано,4.8,установленные процессы,Query cost per user
350,2025-10-19 05:00:00,Аналитика / Data Science,Другое,эффективно,FinOps-подход,29.3,полностью автоматизировано,9.9,установленные процессы,Стоимость лицензий BI
351,2025-10-06 16:00:00,Разработка / Продукты,Озеро данных (Data Lake),неэффективно,Мониторинг использования ресурсов,39.3,в основном автоматизировано,15.1,развивающийся,Egress/Network cost per TB
352,2025-10-06 07:00:00,Другое,"BI-платформы (DataLens, Power BI, Tableau)",максимально эффективно,FinOps-подход,99.1,полностью автоматизировано,26.8,установленные процессы,Стоимость лицензий BI
353,2025-10-03 07:00:00,Операции / Бизнес-подразделение,"BI-платформы (DataLens, Power BI, Tableau)",скорее неэффективно,Контроль вычислительных мощностей,32.7,частично автоматизировано,20.6,установленные процессы,Стоимость лицензий BI
354,2025-10-16 19:00:00,Аналитика / Data Science,Локальные (on-premise) решения,скорее неэффективно,Автоматическое масштабирование,24.3,полностью автоматизировано,10.4,системный подход,Cost per dataset
355,2025-10-23 16:00:00,Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,Мониторинг использования ресурсов,42.2,в основном автоматизировано,47.2,установленные процессы,Storage utilization %
379,2025-10-11 13:00:00,Аналитика / Data Science,Другое,умеренно,Не применяются,28.2,частично автоматизировано,33.9,развивающийся,Egress/Network cost per TB
357,2025-10-17 00:00:00,Финансы / Контроллинг,Локальные (on-premise) решения,максимально эффективно,Мониторинг использования ресурсов,25.8,частично вручную,11.8,системный подход,Cost per dataset
358,2025-10-14 18:00:00,Аналитика / Data Science,Локальные (on-premise) решения,эффективно,Централизация отчётности,50,частично вручную,9.1,установленные процессы,Query cost per user
359,2025-10-19 11:00:00,Аналитика / Data Science,Гибридные (облако + локально),максимально эффективно,Регулярный аудит неиспользуемых данных,30.3,частично автоматизировано,15.2,установленные процессы,Query cost per user
360,2025-10-17 12:00:00,Разработка / Продукты,Озеро данных (Data Lake),эффективно,Не применяются,19.7,частично вручную,3.7,системный подход,Egress/Network cost per TB
361,2025-10-03 08:00:00,Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,FinOps-подход,28.4,полностью вручную,17.2,развивающийся,Cost per dataset
362,2025-10-25 05:00:00,IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,FinOps-подход,24.3,полностью автоматизировано,27.3,установленные процессы,Cost per dataset
363,2025-10-22 01:00:00,Разработка / Продукты,Озеро данных (Data Lake),неэффективно,Не применяются,20,полностью вручную,10.9,установленные процессы,Retention days / % архивируемых данных
364,2025-10-17 00:00:00,Аналитика / Data Science,Другое,неэффективно,Автоматическое масштабирование,15,частично автоматизировано,16,системный подход,Cost per analytic job
365,2025-10-15 12:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",максимально эффективно,Контроль вычислительных мощностей,26,частично автоматизировано,18.9,развивающийся,Cost per dataset
366,2025-10-18 18:00:00,Финансы / Контроллинг,Гибридные (облако + локально),скорее неэффективно,Контроль вычислительных мощностей,48.4,полностью вручную,8,высокий уровень зрелости,Процент автоматизации отчётности
367,2025-10-09 02:00:00,Аналитика / Data Science,Озеро данных (Data Lake),максимально эффективно,Контроль вычислительных мощностей,22.6,в основном автоматизировано,14.2,системный подход,Cost per GB хранения
368,2025-10-03 12:00:00,Аналитика / Data Science,Локальные (on-premise) решения,эффективно,Автоматическое масштабирование,30.8,частично автоматизировано,12.1,установленные процессы,Query cost per user
369,2025-10-07 07:00:00,Разработка / Продукты,Гибридные (облако + локально),скорее неэффективно,Автоматическое масштабирование,20.8,частично автоматизировано,13,системный подход,Retention days / % архивируемых данных
370,2025-10-22 21:00:00,Разработка / Продукты,Гибридные (облако + локально),умеренно,Автоматическое масштабирование,31.4,полностью автоматизировано,4.3,системный подход,Стоимость вычислительного часа (vCPU-hour)
371,2025-10-16 05:00:00,Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,Контроль вычислительных мощностей,48.7,частично автоматизировано,12.2,системный подход,Cost per dataset
372,2025-10-22 05:00:00,Другое,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,Автоматическое масштабирование,24.9,частично вручную,17,установленные процессы,Процент автоматизации отчётности; Cost target 0.59 ₽/GB
373,2025-10-09 07:00:00,Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,Регулярный аудит неиспользуемых данных,29.5,частично автоматизировано,26.5,установленные процессы,Query cost per user
374,2025-10-06 18:00:00,Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,Автоматическое масштабирование,31.2,частично вручную,21.6,установленные процессы,Cost per analytic job
375,2025-10-01 05:00:00,IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,Не применяются,36.4,частично автоматизировано,33.5,развивающийся,Egress/Network cost per TB
376,2025-10-19 01:00:00,Аналитика / Data Science,Локальные (on-premise) решения,максимально эффективно,Не применяются,34.7,в основном автоматизировано,4.3,установленные процессы,Query cost per user
377,2025-10-26 08:00:00,Аналитика / Data Science,Другое,скорее неэффективно,Автоматическое масштабирование,34.4,частично автоматизировано,20.7,установленные процессы,Процент автоматизации отчётности
378,2025-10-25 09:00:00,Аналитика / Data Science,Озеро данных (Data Lake),скорее неэффективно,Не применяются,19.5,в основном автоматизировано,13.8,установленные процессы,Процент автоматизации отчётности
380,2025-10-13 08:00:00,Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,Мониторинг использования ресурсов,9.1,частично автоматизировано,3.9,системный подход,Query cost per user
381,2025-10-13 03:00:00,Операции / Бизнес-подразделение,Гибридные (облако + локально),эффективно,Контроль вычислительных мощностей,40.1,полностью вручную,3.6,системный подход,Стоимость вычислительного часа (vCPU-hour)
382,2025-10-21 12:00:00,IT / Инфраструктура,Озеро данных (Data Lake),умеренно,Мониторинг использования ресурсов,27.8,в основном автоматизировано,6,развивающийся,Cost per dataset
383,2025-10-15 17:00:00,Аналитика / Data Science,Локальные (on-premise) решения,эффективно,Регулярный аудит неиспользуемых данных,26.3,полностью вручную,-9.2,системный подход,Storage utilization %
384,2025-10-21 20:00:00,Руководство / Менеджмент,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,FinOps-подход,26.2,в основном автоматизировано,6.7,системный подход,Cost per dataset
385,2025-10-16 17:00:00,Финансы / Контроллинг,Гибридные (облако + локально),умеренно,Автоматическое масштабирование,33.6,частично автоматизировано,4.4,начальный уровень,Egress/Network cost per TB
386,2025-10-07 13:00:00,IT / Инфраструктура,Озеро данных (Data Lake),максимально эффективно,Регулярный аудит неиспользуемых данных,19.8,в основном автоматизировано,13.5,установленные процессы,Cost per GB хранения
387,2025-10-20 22:00:00,Операции / Бизнес-подразделение,Озеро данных (Data Lake),умеренно,Автоматическое масштабирование,26.9,частично вручную,15.4,установленные процессы,Процент автоматизации отчётности
388,2025-10-15 19:00:00,Разработка / Продукты,Гибридные (облако + локально),эффективно,Контроль вычислительных мощностей,15.9,частично автоматизировано,30.8,развивающийся,Query cost per user
389,2025-10-24 00:00:00,Финансы / Контроллинг,Другое,эффективно,Автоматическое масштабирование,27.5,полностью вручную,21.5,развивающийся,Egress/Network cost per TB
390,2025-10-02 10:00:00,IT / Инфраструктура,Локальные (on-premise) решения,неэффективно,Автоматическое масштабирование,35.2,частично автоматизировано,6.2,высокий уровень зрелости,Стоимость лицензий BI
391,2025-10-25 22:00:00,IT / Инфраструктура,Локальные (on-premise) решения,скорее неэффективно,Не применяются,20.2,полностью автоматизировано,3,установленные процессы,Cost per GB хранения
392,2025-10-22 09:00:00,IT / Инфраструктура,Озеро данных (Data Lake),умеренно,Мониторинг использования ресурсов,37.8,в основном автоматизировано,16.9,системный подход,Retention days / % архивируемых данных
393,2025-10-07 03:00:00,Руководство / Менеджмент,Локальные (on-premise) решения,эффективно,Мониторинг использования ресурсов,29.6,частично автоматизировано,-1.2,установленные процессы,Cost per GB хранения
394,2025-10-23 15:00:00,IT / Инфраструктура,Озеро данных (Data Lake),умеренно,Автоматическое масштабирование,17.4,в основном автоматизировано,30.3,развивающийся,Cost per GB хранения
395,2025-10-21 04:00:00,Разработка / Продукты,Локальные (on-premise) решения,умеренно,Мониторинг использования ресурсов,30.1,частично автоматизировано,23.8,системный подход,Cost per GB хранения
396,2025-10-01 22:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",скорее неэффективно,Автоматическое масштабирование,41.8,в основном автоматизировано,7.3,установленные процессы,Стоимость лицензий BI
397,2025-10-15 08:00:00,Аналитика / Data Science,Другое,скорее неэффективно,Мониторинг использования ресурсов,19.3,в основном автоматизировано,-5.1,развивающийся,Storage utilization %
398,2025-10-01 20:00:00,Операции / Бизнес-подразделение,"BI-платформы (DataLens, Power BI, Tableau)",максимально эффективно,Контроль вычислительных мощностей,31,в основном автоматизировано,25.5,системный подход,Процент автоматизации отчётности
399,2025-10-22 15:00:00,Финансы / Контроллинг,Другое,скорее неэффективно,Мониторинг использования ресурсов,23.1,частично автоматизировано,10.9,высокий уровень зрелости,Cost per analytic job
400,2025-10-05 05:00:00,Разработка / Продукты,Локальные (on-premise) решения,эффективно,Централизация отчётности,23.5,частично автоматизировано,24.4,системный подход,Cost per GB хранения
401,2025-10-23 02:00:00,Операции / Бизнес-подразделение,Локальные (on-premise) решения,скорее неэффективно,Автоматическое масштабирование,40.6,в основном автоматизировано,-3.9,системный подход,Query cost per user; Cost target 0.41 ₽/GB
402,2025-10-26 22:00:00,IT / Инфраструктура,Локальные (on-premise) решения,эффективно,Не применяются,37.6,полностью автоматизировано,6,установленные процессы,Cost per analytic job
403,2025-10-07 06:00:00,IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,Мониторинг использования ресурсов,28.1,частично вручную,12.1,развивающийся,Retention days / % архивируемых данных
404,2025-10-15 22:00:00,Финансы / Контроллинг,Локальные (on-premise) решения,эффективно,Автоматическое масштабирование,11.1,в основном автоматизировано,12.5,системный подход,Cost per dataset
405,2025-10-11 11:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",скорее неэффективно,Автоматическое масштабирование,18.7,в основном автоматизировано,7.5,высокий уровень зрелости,Storage utilization %
406,2025-10-09 11:00:00,Аналитика / Data Science,Другое,умеренно,FinOps-подход,26.3,частично вручную,18.2,установленные процессы,Процент автоматизации отчётности
407,2025-10-07 10:00:00,Другое,Озеро данных (Data Lake),максимально эффективно,Мониторинг использования ресурсов,25.8,в основном автоматизировано,1.3,установленные процессы,Query cost per user
408,2025-10-05 08:00:00,IT / Инфраструктура,Другое,эффективно,Контроль вычислительных мощностей,1.8,в основном автоматизировано,10.6,начальный уровень,Стоимость лицензий BI
409,2025-10-23 22:00:00,Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,Централизация отчётности,31.6,полностью автоматизировано,13.2,системный подход,Стоимость лицензий BI
410,2025-10-14 13:00:00,Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,Централизация отчётности,25.9,полностью автоматизировано,17.1,системный подход,Storage utilization %
